name	government-organisations
Science Advisory Committee on the Medical Implications of Less-Lethal Weapons	
Science Advisory Council	PB211
Science Museum Group	PB177
Science and Technology Facilities Council	PB135
Scotland Office	D23
Sea Fish Industry Authority	OT205
Security Industry Authority	PB264
Security Vetting Appeals Panel	PB367
Senior Salaries Review Body	PB368
Sentencing Council for England and Wales	PB295
Serious Fraud Office	D115
Single Source Regulations Office (SSRO)	PB1093
Sir John Soane's Museum	PB183
Skills Funding Agency	EA86
Social Mobility Commission (Social Mobility and Poverty Commission in PB 2015)	PB1193
Social Science Research Committee, The	PB578
Social Security Advisory Committee	PB232
Sport England	PB190
Sports Grounds Safety Authority	PB184
Standards and Testing Agency	EA243
Student Loans Company	PB27
Tate	PB571
Technical Advisory Board	PB274
Theatres Trust, The	PB380
Traffic Commissioners and Deputies	PB465
Transport Focus/Passengers' Council	PB1118
Treasure Valuation Committee	PB383
Tribunal Procedure Committee	PB448
Trinity House	PB462
UK Anti Doping	PB377
UK Atomic Energy Authority	PB137
UK Commission for Employment and Skills	PB138
UK Debt Management Office	EA82
UK Hydrographic Office	EA51
UK Space Agency	EA31
UK Statistics Authority	D116
UK Supreme Court	D435
UK Trade & Investment	D117
United Kingdom Sports Council	OT886;EA764;OT694;OT734
Valuation Office Agency	EA87
Valuation Tribunal Service	PB375
Valuation Tribunal for England	PB1204
Vehicle Certification Agency	EA80
Veterans Advisory and Pensions Committees	PB403
Veterinary Medicines Directorate	EA60
Veterinary Products Committee	PB212
Victoria and Albert Museum	PB378
Visit Britain	PB186
Visit England	PB376
Wallace Collection	PB187
Westminster Foundation for Democracy, The	OT316
Wilton Park	EA62
Youth Justice Board for England and Wales	PB302
