name	government-organisation
DECC - NUCLEAR DECOMMISSIONING AUTHORITY 	PB197
DECC - NUCLEAR DECOMMISSIONING AUTHORITY 	PB197
DEFRA - AGRICULTURE & HORTICULTURE DEVELOPMENT BOARD	OT204
DEFRA - DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS	D7
DEFRA - ENVIRONMENT AGENCY 	EA199
DEFRA - ENVIRONMENT AGENCY ANGLIAN	
DEFRA - ENVIRONMENT AGENCY FUNCTIONAL	
DEFRA - ENVIRONMENT AGENCY HEAD OFFICE	
DEFRA - ENVIRONMENT AGENCY MIDLANDS	
DEFRA - ENVIRONMENT AGENCY NATIONAL LAB. SERVICE	
DEFRA - ENVIRONMENT AGENCY NORTH EAST	
DEFRA - ENVIRONMENT AGENCY NORTH WEST	
DEFRA - ENVIRONMENT AGENCY SOUTH WEST	
DEFRA - ENVIRONMENT AGENCY SOUTHERN	
DEFRA - ENVIRONMENT AGENCY THAMES	
DEFRA - JOINT NATURE CONSERVATION COMMITTEE	PB201
DEFRA - NATIONAL FOREST COMPANY	PB415
DEFRA - NATIONAL FOREST COMPANY OPERATIONAL	
DEFRA - NATURAL ENGLAND	PB202
DEFRA - ROYAL BOTANIC GARDENS KEW	
DEFRA - SEA FISH INDUSTRY AUTHORITY	OT205
DERBY HOSPITALS NHS FOUNDATION TRUST - 	
DERBYSHIRE COMMUNITY HEALTH SERVICES NHS  FOUNDATION TRUST - 	
DEVON PARTNERSHIP NHS TRUST - 	
DFE - EDUCATION FUNDING AGENCY	EA242
DFE - EQUALITY AND HUMAN RIGHTS COMMISSION	OT269
DFE - OFFICE OF QUALIFICATIONS AND EXAMINATIONS REGULATION (OFQUAL)	
DFE - OPERATIONAL PROPERTIES	
DFE - SUBLET AND SURPLUS PROPERTIES	
DFID - DEPARTMENT FOR INTERNATIONAL DEVELOPMENT	D8
DFT - ASSOCIATION OF COMMUNITY RAIL PARTNERSHIP	
DFT - BRITISH TRANSPORT POLICE AUTHORITY	PB461
DFT - COMMISSIONERS OF IRISH LIGHTS	
DFT - DFT CENTRAL	
DFT - DFT CENTRAL (RAILWAY ASSETS)	
DFT - DRIVER & VEHICLE STANDARDS AGENCY	EA570
DFT - DRIVER AND VEHICLE LICENSING AGENCY	EA74
DFT - FREIGHT OPERATING COMPANY	
DFT - HIGH SPEED ONE	
DFT - HIGH SPEED TWO (HS2) LTD	PB460
DFT - HIGHWAYS ENGLAND (LAND HELD PENDING USE)	EA1114
DFT - HIGHWAYS ENGLAND HISTORICAL RAILWAYS ESTATE	EA1114
DFT - HIGHWAYS ENGLAND(OFFICE AND OPERATIONAL ESTATE)	EA1114
DFT - HS2 TEMP	
DFT - LCR – ADMINISTRATION OFFICE ESTATE	
DFT - LCR – RESIDUAL LAND	
DFT - LONDON & CONTINENTAL RAILWAYS	PC493
DFT - MARITIME AND COASTGUARD AGENCY	EA78
DFT - NETWORK RAIL	
DFT - TRAIN OPERATING COMPANY	
DFT - VEHICLE CERTIFICATION AGENCY	
DH - CARE QUALITY COMMISSION	PB251
DH - HEALTH & SOCIAL CARE INFORMATION CENTRE	OT538
DH - HEALTH EDUCATION ENGLAND	OT539
DH - HEALTH RESEARCH AUTHORITY	OT483
DH - HQ	
DH - MEDICINES, HEALTHCARE PRODUCTS AND REGULATORY AGENCY	EA63
DH - NATIONAL INSTITUTE FOR HEALTH AND CARE EXCELLENCE	PB474
DH - NHS BLOOD & TRANSPLANT	OT486
DH - NHS BUSINESS SERVICES AUTHORITY	OT529
DH - NHS ENGLAND	PB481
DH - NHS TRUST & DEVELOPMENT AUTHORITY	OT484
DH - PUBLIC HEALTH ENGLAND	EA480
DH - RETAINED ESTATE	
DONCASTER and BASSETLAW HOSPITALS NHS FOUNDATION TRUST - 	
DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST - 	
DWP - CMG	
DWP - CORPORATE CENTRE	
DWP - HEALTH AND SAFETY EXECUTIVE	PB207
DWP - OPERATIONS	
DWP - PENSIONS REGULATOR	PB234
Department for Business, Energy & Industrial Strategy - 	D1198
Department for Communities and Local Government - 	D4
Department for Culture, Media and Sport - 	D5
Department for Education - 	D6
Department for Environment, Food  and Rural Affairs - 	D7
Department for International Development - 	D8
Department for Transport - 	D9
Department for Work and Pensions - 	D10
Department of Energy and Climate Change - 	D11
Department of Health - 	D12
EALING HOSPITAL NHS TRUST - 	
EAST AND NORTH HERTFORDSHIRE NHS TRUST - 	
EAST CHESHIRE NHS TRUST - 	
EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST - 	
EAST LANCASHIRE HOSPITALS NHS TRUST - 	
EAST MIDLANDS AMBULANCE SERVICE NHS TRUST - 	
EAST SUSSEX HEALTHCARE NHS TRUST - 	
FC - FORESTRY COMMISSION ENGLAND	D85
FC - FORESTRY COMMISSION ENGLAND (OPERATIONAL BUILDINGS)	D85
FC - FORESTRY COMMISSION – LAND REGISTER	D85
FCO - BRITISH COUNCIL	OT313
FCO - FOREIGN & COMMONWEALTH OFFICE	D13
FCO - GREAT BRITAIN	
FCO - WESTMINSTER FOUNDATION FOR DEMOCRACY (WFD)	OT316
FCO - WILTON PARK	EA62
FSA - FOOD STANDARDS AGENCY	
Food Standards Agency - 	D102
Foreign & Commonwealth Office - 	D13
Forestry Commission - 	D85
GAD - GOVERNMENT ACTUARYS DEPARTMENT	D103
GATESHEAD HEALTH NHS FOUNDATION TRUST - 	
GEORGE ELIOT HOSPITAL NHS TRUST - 	
GLD - GOVERNMENT LEGAL DEPARTMENT	D1108
GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST - 	
GREAT WESTERN AMBULANCE SERVICE NHS TRUST - 	
GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST - 	
GUY'S AND ST THOMAS' NHS FOUNDATION TRUST - 	
Government Actuarys Department - 	D103
Government Legal Department - 	D1108
HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST - 	
HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST - 	
HM Revenue and Customs - 	D25
HM Treasury - 	D15
HMRC - HM REVENUE AND CUSTOMS	D25
HMRC - VALUATION OFFICE AGENCY	EA87
HMT - HM TREASURY	D15
HMT - UK DEBT MANAGEMENT OFFICE	EA82
HO - CORE HOME OFFICE	
HOPG - COLLEGE OF POLICING	
HOPG - CORE HOME OFFICE 	
HOPG - DISCLOSURE AND BARRING SERVICE	PB509
HOPG - INDEPENDENT POLICE COMPLAINTS COMMISSION	PB456
HOPG - SECURITY INDUSTRY AUTHORITY	PB264
HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST - 	
HUMBER NHS FOUNDATION TRUST - 	
Home Office - 	D16
ISLE OF WIGHT NHS TRUST - 	
KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST - 	
LANCASHIRE CARE NHS FOUNDATION TRUST - 	
LEEDS COMMUNITY HEALTHCARE NHS TRUST - 	
LEICESTERSHIRE PARTNERSHIP NHS TRUST - 	
LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST - 	
LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST - 	
LIVERPOOL COMMUNITY HEALTH NHS TRUST - 	
LIVERPOOL WOMEN'S NHS FOUNDATION TRUST - 	
LONDON AMBULANCE SERVICE NHS TRUST - 	
LR - LAND REGISTRY AGENCY ESTATES DIVISION AED	D69
Land Registry - 	D69
MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST - 	
MEDWAY NHS FOUNDATION TRUST - 	
MERSEY CARE NHS TRUST - 	
MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST - 	
MID ESSEX HOSPITAL SERVICES NHS TRUST - 	
MID YORKSHIRE HOSPITALS NHS TRUST - 	
MIDDLESBROUGH - 	
MOD - MINISTRY OF DEFENCE	D17
MOD - UNITED KINGDOM HYDROGRAPHIC OFFICE	EA51
MOJ - CHILDREN & FAMILY COURT ADVISORY & SUPPORT SERVICE	
MOJ - CRIMINAL INJURIES COMPENSATION AUTHORITY	PB297
MOJ - HMCTS (LONDON)	
MOJ - HMCTS (MIDLANDS)	
MOJ - HMCTS (NORTH EAST)	
MOJ - HMCTS (NORTH WEST)	
MOJ - HMCTS (SCOTLAND)	
MOJ - HMCTS (SOUTH EAST)	
MOJ - HMCTS (SOUTH WEST)	
MOJ - HMCTS (WALES)	
MOJ - LEGAL AID AGENCY	EA556
MOJ - MINISTRY OF JUSTICE HQ	D18
MOJ - NOMS CUSTODIAL PRISON OFFICER QUARTERS	
MOJ - NOMS CUSTODIAL PROPERTY	
MOJ - NOMS CUSTODIAL PROPERTY OUTSIDE THE WIRE	
MOJ - NOMS HQ	
MOJ - NOMS PROBATION	
MOJ - SUPREME COURT	D435
Ministry of Defence (Civil) - 	D17
Ministry of Justice - 	D18
NCA - NATIONAL CRIME AGENCY (NCA)	PB558
NHS Foundation Trusts - 	
NHS MEDWAY CLINICAL COMMISSIONING GROUP - 	
NHS PROPERTY SERVICES LTD - ALL	
NHS PROPERTY SERVICES LTD - LONDON	
NHS PROPERTY SERVICES LTD - MIDLANDS & EAST	
NHS PROPERTY SERVICES LTD - NORTH	
NHS PROPERTY SERVICES LTD - SOUTH	
NHS Property Services Ltd - 	
NHS Trusts - 	
NORFOLK AND SUFFOLK NHS FOUNDATION TRUST - 	
NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST - 	
NORTH EAST LONDON NHS FOUNDATION TRUST - 	
NORTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST - 	
NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST - 	
NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST - 	
NORTH WEST AMBULANCE SERVICE NHS TRUST - 	
NORTH YORKSHIRE - 	
NORTHAMPTON GENERAL HOSPITAL NHS TRUST - 	
NORTHERN DEVON HEALTHCARE NHS TRUST - 	
NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST - 	
NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST - 	
NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST - 	
National Crime Agency - 	PB558
OFCOM - OFFICE OF COMMUNICATIONS	
OFGEM - OFFICE OF GAS AND ELECTRICITY MARKETS	
OFSTED - OFFICE FOR STANDARDS IN EDUCATION	
ONS - OFFICE FOR NATIONAL STATISTICS	D303
ORR - OFFICE OF RAIL AND ROAD	D1117
OXFORD HEALTH NHS FOUNDATION TRUST - 	
OXFORD UNIVERSITY HOSPITALS NHS TRUST - 	
Office for National Statistics - 	D303
Office for Standards In Education - 	
Office of Communications - 	
Office of Gas & Electricity Markets - 	
Office of Rail and Road - 	D1117
PCOM - PARLIAMENTARY AND HEALTH SERVICE OMBUDSMAN	OT519
PENNINE ACUTE HOSPITALS NHS TRUST - 	
PENNINE CARE NHS FOUNDATION TRUST - 	
PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST - 	
POOLE HOSPITAL NHS FOUNDATION TRUST - 	
PORTSMOUTH HOSPITALS NHS TRUST - 	
Parliamentary and Health Service Ombudsman - 	OT519
RM - ROYAL MINT	EA114
ROYAL DEVON AND EXETER NHS FOUNDATION TRUST - 	
ROYAL FREE LONDON NHS FOUNDATION TRUST - 	
ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST - 	
ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST - 	
Royal Mint - 	EA114
SFO - SERIOUS FRAUD OFFICE	D115
SHREWSBURY AND TELFORD HOSPITAL NHS TRUST - 	
SHROPSHIRE COMMUNITY HEALTH NHS TRUST - 	
SO - SCOTLAND OFFICE	D23
SOLENT NHS TRUST - 	
SOMERSET PARTNERSHIP NHS FOUNDATION TRUST - 	
SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST - 	
SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST - 	
SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST - 	
SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST - 	
SOUTH LONDON HEALTHCARE NHS TRUST - 	
SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST - 	
SOUTH TYNESIDE NHS FOUNDATION TRUST - 	
SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST - 	
SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST - 	
SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST - 	
SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST - 	
SOUTHERN HEALTH NHS FOUNDATION TRUST - 	
ST GEORGE'S HEALTHCARE NHS TRUST - 	
ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST - 	
STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST - 	
SUSSEX COMMUNITY NHS TRUST - 	
SUSSEX PARTNERSHIP NHS FOUNDATION TRUST - 	
Scotland Office - 	D23
Serious Fraud Office - 	D115
TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST - 	
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST - 	
THE ROYAL WOLVERHAMPTON NHS TRUST - 	
THE WALTON CENTRE NHS FOUNDATION TRUST - 	
TNA - THE NATIONAL ARCHIVES	
The National Archives - 	EA71
UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST - 	
UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST - 	
WALSALL HEALTHCARE NHS TRUST - 	
WEST HERTFORDSHIRE HOSPITALS NHS TRUST - 	
WEST LONDON MENTAL HEALTH NHS TRUST - 	
WEST MIDLANDS AMBULANCE SERVICE NHS TRUST - 	
WEST SUFFOLK NHS FOUNDATION TRUST - 	
WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST - 	
WO -  WALES OFFICE	
WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST - 	
WSRA - WATER SERVICES REGULATION AUTHORITY	D240
Wales Office - 	
Water Services Regulation Authority - 	D240
YORK TEACHING HOSPITAL NHS FOUNDATION TRUST - 	
