urn	name	type
10019911	Advisory Committee on Statute Law	NDPB
10051206	Advisory Committee on the Microbiological Safety of Food	Advisory non-departmental public body
10019910	Advisory Committees on Justices of the Peace	NDPB
10051366	Advisory Committees on Justices of the Peace	Advisory non-departmental public body
10019966	Advisory Council on the Misuse of Drugs	NDPB
10051207	Advisory Group on Military Medicine	Other
10023202	Advisory Panel on Public Sector Information	NDPB
10006851	Advisory, Conciliation and Arbitration Service	NDPB
10006385	AES ASU RLC 5 Div	TBA
10025514	AFV Gunnery School	TBA
10019949	Agricultural Land Tribunals England	NDPB
10019943	Agricultural Wages Board for England and Wales	NDPB
10021791	Agricultural Wages Committees for England and Wales	TBA
10025426	Agriculture and Horticulture Development Board	NDPB
10012505	Air Accidents Investigation Branch	TBA
10051541	Air Command	Other
10019929	Air Quality Expert Group	NDPB
10040414	Air Test and Evaluation Special Division	TBA
10024061	Air Training Corps Edmonton	TBA
10023328	Air Training Corps Wimborne	TBA
10041484	Airports Commission	TBA
10020022	Alcohol and Education Research Council	NDPB
10006873	Alexander Barracks	TBA
10029647	Al-Sweady Public Inquiry The	TBA
10030693	Altrincham County Court	TBA
10042401	Animal and Plant Health Agency	Executive Agency
10051208	Animals in Science Committee	Advisory non-departmental public body
10030923	Apache PT - MOD	TBA
10027156	APHCS	TBA
10051209	Appointed person for England and Wales under the Proceeds of Crime Act 2002	Other
10027084	Architects Registration Board	Public Corporation
10040411	Armed Forces Chaplaincy Centre	TBA
10006936	Armed Forces Hospital Riyadh	Cross Service
10051210	Armed Forces' Pay Review Body	Advisory non-departmental public body
10040358	Armoured Trials and Development	TBA
10037377	Army HQ	TBA
10029597	Army Library and Information Service	TBA
10034406	Army Officer Selection Board	TBA
10042050	Army Reform Group	None
10041608	Army School of Physical Training	TBA
10004087	Army Training Regiment	TBA
10006949	Arts and Humanities Research Council	NDPB
10011393	Arts Council England	NDPB
10013125	Ascension Island Base	TBA
10029405	ASPIRE DEFENCE	TBA
10035059	Aspire Defence Services Limited	TBA
10026870	Asset Protection Agency	Executive Agency
10006973	Assets Recovery Agency	TBA
10006975	Assisted Prison Visits Unit	TBA
10021796	Association for Ceramic Training and Development	TBA
10015933	Association of Police Authorities	TBA
10005934	ASU 3 Division HQ	TBA
10004871	ASU 5th Division	TBA
10033099	ASU Brunei Garrison	TBA
10024414	ASU Colchester	TBA
10006986	ASU HQ	TBA
10025125	ASU NEPAL	TBA
10025410	ASU Northern Ireland	Cross Service
10005083	ASU RLC	TBA
10006387	ASU Rlc 5 Div	TBA
10004872	ASU RLC 5th Division	TBA
10002332	ASU Rlc Aldershot 4th Div	TBA
10006989	ASU RLC Scotland	TBA
10000247	Atomic Weapons Establishment	TBA
10002595	ATR Bassingbourn	TBA
10009083	Attorney General's Office	Department
10001120	Atturm	TBA
10006997	Audit Commission	NDPB
10021797	Automotive Skills	TBA
10014245	Av and Air EW IPT RAF Wyton	TBA
10012520	Avon and Somerset Magistrates Courts Committee	NDPB
10025352	Avon and Somerset Probation Trust	TBA
10034411	Aylesbury Magistrates Court	TBA
10020918	Babcock Dyncorp Limited	TBA
10043816	Babcock Land Ltd	Other
10007018	Babcock Rosyth Defence Limited	TBA
10025097	Baha Mousa Public Inquiry	TBA
10030559	Balmore Surgery	Health
10007036	Bank of England	Public Corporation
10030767	Barnstaple Magistrates	TBA
10007054	Basic Skills Agency	TBA
10013425	Bath Magistrates Court	NDPB
10007268	BBC	Public Corporation
10013195	BBC Belfast	TBA
10027174	BBC Parliament	Public Corporation
10036902	BBC Wales	TBA
10026245	BBC Workplace	Public Corporation
10019956	BBC World Service	TBA
10036983	BC Holdings (Thailand) Limited	TBA
10036985	BC Language Teaching (Thailand) Limited	TBA
10036984	BC Operations (Thailand) Limited	TBA
10025434	Bedford and Mid Bedfordshire Magistrates Court	TBA
10020083	Bedfordshire Probation Trust	TBA
10015935	Benefit Fraud Inspectorate	TBA
10013437	Benefits Agency	TBA
10028920	Beta Partnerships	TBA
10014780	Better Regulation Executive	TBA
10002911	Bexley Magistrates Courts	TBA
10013942	Big Lottery Fund	NDPB
10051211	Biometrics Commissioner	Other
10005937	Biotechnology and Biological Sciences Research Council	NDPB
10026231	Birkenhead County Court	TBA
10007124	Birmingham Civil Justice Centre	TBA
10030768	Birmingham Magistrates	TBA
10026020	Blackfriars Crown Court	TBA
10026699	BMT Defence Services	TBA
10051212	Board of Trustees of the Royal Botanic Gardens Kew	Executive non-departmental public body
10011455	Board of Trustees of the Victoria and Albert Museum	NDPB
10021953	Bombardier Aero Belfast	TBA
10051213	Bona Vacantia	Sub-organisation
10051214	Border Force	Sub-organisation
10033119	Botanic Gardens Conservation International	TBA
10051215	Boundary Commission for England	Advisory non-departmental public body
10051216	Boundary Commission for Wales	Advisory non-departmental public body
10001320	Bovington Camp	TBA
10006610	Bradford Court Centre	TBA
10020214	BRB Residuary Limited	Public Corporation
10030769	Bristol County Court	TBA
10000108	Bristol Vehicle Testing Station	NDPB
10027438	British American Parliamentary Group	TBA
10007266	British Antarctic Survey	TBA
10019957	British Association for Central and Eastern Europe	NDPB
10007267	British Board Of Agrement	TBA
10042262	British Business Bank	Other
10033120	British Cattle Veterinary Association	TBA
10007271	British Council	NDPB
10016356	British Design and Art Direction	TBA
10025588	British Empire and Commonwealth Museum	TBA
10018082	British Film Institute	NDPB
10027509	BRITISH FORCES CYPRUS	TBA
10007108	British Forces Post Office Agency	Executive Agency
10004405	British Geological Survey	NDPB
10019987	British Hallmarking Council	NDPB
10006619	British Library	NDPB
10007277	British Museum	NDPB
10007278	British Nuclear Fuels Limited	Public Corporation
10051217	British Pharmacopoeia Commission	Advisory non-departmental public body
10007287	British Transport Police	Police Service
10023597	British Transport Police Authority	TBA
10019951	British Wool Marketing Board	TBA
10051218	Broadmoor Hospital investigation	Sub-organisation
10019952	Broads Authority	TBA
10002926	Bromley County Court	TBA
10022900	Bromley Magistrates Court	TBA
10030568	Bruntsfield Medical Practice	Health
10035709	Building Regulations Advisory Committee	TBA
10014933	Building Services Group	TBA
10000678	Bunbury House Hostel	TBA
10018854	Bury Magistrates Court	TBA
10013422	Business Link County Durham	Other
10013536	Business Link Devon and Cornwall	Other
10015038	Business Link For London	Other
10012506	Business Link Gloucestershire	Other
10021116	Business Link Hampshire and Isle of Wight	Other
10021611	Business Link Hull	Other
10023479	Business Link Milton Keynes	Other
10022679	Business Link Northwest	Other
10007345	Business Link Nottinghamshire	Other
10007346	Business Link Somerset	Other
10013904	Business Link South Yorkshire	Other
10018850	Business Link Surrey	Other
10026496	Business Link Sussex	Other
10025595	Business Link Tyne and Wear	Other
10025520	Business Link West Midlands	Other
10012201	Business Link York and North Yorkshire	Other
10025133	Business Link Yorkshire	Other
10007349	Cabinet Office	Department
10051219	Cafcass	Executive non-departmental public body
10006631	Calderdale Magistrates Court	TBA
10030570	Caldicot Medical Centre	Health
10013981	Cambridgeshire and Peterborough Probation Trust	TBA
10026271	Camelot	TBA
10034445	Canadian High Commission	TBA
10029180	Canterbury County Court	TBA
10026831	Capital for Enterprise Limited	NDPB
10035420	Card Sales Defence Estates Nepal	TBA
10030572	Cardenden Health Centre	Health
10025944	Care Quality Commission	NDPB
10021800	CDC Group	Public Corporation
10015941	Census 1901	TBA
10015943	Census 2001 Scotland	NDPB
10051220	Central Advisory Committee on Pensions and Compensation	Advisory non-departmental public body
10007456	Central Arbitration Committee	NDPB
10027836	Central Blood Laboratory Authority	Central Bodies
10019122	Central Chancery of the Orders of Knighthood	TBA
10007632	Central Office of Information	Executive Agency
10035370	Central Relocation Partnership	TBA
10024693	Centre for Applied Science and Technology	TBA
10051221	Centre for Defence Enterprise	Sub-organisation
10004757	Centre for Ecology and Hydrology	NDPB
10005236	Centre for Environment, Fisheries and Aquaculture Science	Executive Agency
10041467	Centre for the Protection of National Infrastructure	TBA
10021240	Centre of Ecology and Hydrology	TBA
10029523	Centre of Excellence for Life Sciences	TBA
10013523	Centre of Excellence for Nanotechnology Micro and Phontonic Systems Limited	TBA
10013528	Centre of Excellence in Digital Technology and Media Limited CODEWORKS	TBA
10043060	CERT UK	Other
10051222	Certification Officer	Other
10051223	CESG	Sub-organisation
10051224	Channel 4	Public Corporation
10020021	Channel Four Television Corporation	Public Corporation
10007502	Chelsea Barracks	TBA
10019953	Chemical Stakeholders Forum	TBA
10013206	Cheshire Magistrates Courts Committee	TBA
10026504	Cheshire Probation Trust	TBA
10040006	Cheshire West and Chester Museums	TBA
10000643	Chester Magistrate Courts	TBA
10004411	Chetwynd Barracks	TBA
10051225	Chevening Scholarship Programme	Other
10008272	Chief Fire and Rescue Adviser	Sub-organisation
10036607	Chief Information Officer CIO	TBA
10036608	Chief Scientific Adviser CSA	TBA
10026502	Child Exploitation and Online Protection Centre	TBA
10024728	Child Maintenance and Enforcement Commission	Executive Agency
10007515	Children and Family Court Advisory and Support Service	NDPB
10033600	China Britain Business Council	TBA
10025690	Chorley County Court	TBA
10030770	Chorley Magistrates	TBA
10007545	Churches Conservation Trust	NDPB
10024237	CIP Team	TBA
10014247	CIS E	TBA
10015730	City of London Magistrates Court	TBA
10019999	Civil Aviation Authority	Public Corporation
10019913	Civil Justice Council	NDPB
10015816	Civil Nuclear Constabulary	TBA
10014319	Civil Nuclear Police Authority	Police Authority
10023203	Civil Procedure Rule Committee	TBA
10013570	Civil Service Club	TBA
10051226	Civil Service Commission	Executive non-departmental public body
10051227	Civil Service Fast Stream	Sub-organisation
10051228	Civil Service Fast Track Apprenticeship	Sub-organisation
10036423	Civil Service Learning	TBA
10051229	Civil Service Reform	Sub-organisation
10036067	Civil Service Resourcing	TBA
10007593	Civil Service Sports Council	TBA
10026525	CLTB Commercial MOD	TBA
10011420	Coal Authority The	Executive Agency
10040364	Colchester Garrison	TBA
10030579	Comber Health Centre	Health
10025526	Commando Training Centre	TBA
10051230	Commercial Court	Court
10007659	Commission for Architecture and the Built Environment	NDPB
10007661	Commission for Healthcare Audit and Inspection	NDPB
10015242	Commission for Integrated Transport	NDPB
10035711	Commission for Local Administration	TBA
10051231	Commission on Human Medicines	Advisory non-departmental public body
10051232	Commissioner for Public Appointments	Other
10015370	Commissioners for the Reduction of National Debt	TBA
10034967	Committee On Climate Change	TBA
10051233	Committee on Fuel Poverty	Advisory non-departmental public body
10051234	Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment	Advisory non-departmental public body
10019931	Committee on Products and Processes for Use in Public Water Supply	NDPB
10051235	Committee on Radioactive Waste Management	Advisory non-departmental public body
10051236	Committee on Standards in Public Life	Advisory non-departmental public body
10051237	Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment	Advisory non-departmental public body
10007667	Commonwealth Institute	TBA
10036058	Commonwealth Parliamentary Association	TBA
10035956	Commonwealth Parliamentary Association Secretariat	TBA
10021805	Commonwealth Scholarship Commission in the UK	TBA
10007668	Commonwealth Secretariat	TBA
10027185	Commonwealth War Graves Commission	TBA
10042356	Communicate Research Ltd	Other
10014088	Communications Electronics Security Group	TBA
10007671	Community Development Foundation	NDPB
10038489	Community Health Partnerships	Other
10051238	Companies Court	Court
10007687	Companies House	Executive Agency
10051239	Company Names Tribunal	Other
10041232	Competition and Markets Authority	Non Ministerial Government Department
10015663	Competition Appeal Tribunal	NDPB
10012351	Competition Commission	NDPB
10011924	Competition Service	NDPB
10040609	Construction Industry Training Board	Executive non-departmental public body
10015666	Consumer Council for Water	NDPB
10025130	Consumer Focus	NDPB
10051240	Copyright Tribunal	Tribunal non-departmental public body
10036673	Corporate Performance Group	Executive Agency
10023764	Corsham Computer Centre	TBA
10019995	Council for Science and Technology	NDPB
10051241	Counter Fraud and Security Management Service	Sub-organisation
10030771	County Durham Magistrates Courts	TBA
10025971	Court Funds Office The	NDPB
10051242	Court of Appeal Civil Division	Court
10051243	Court of Appeal Criminal Division	Court
10015121	Covent Garden Market Authority	Non Ministerial Government Department
10035426	CPC Ministry of Defence	TBA
10035427	CPC Ministry of Defence	TBA
10013473	Creating Excellence	TBA
10021808	Creative and Cultural Skills	TBA
10024914	Creative Junction CIC	TBA
10030581	Cregagh Surgery	Health
10000652	Crewe Benefits Agency	TBA
10019972	Crime Reduction and Community Safety Group	TBA
10035861	Criminal Appeals Office	TBA
10006164	Criminal Cases Review Commission	NDPB
10007764	Criminal Injuries Compensation Authority	NDPB
10023205	Criminal Procedure Rule Committee	TBA
10006484	Crown Agents	NDPB
10021809	Crown Agents Holding and Realisation Board	NDPB
10009655	Crown Commercial Service	Executive Agency
10019914	Crown Court Rule Committee	NDPB
10006322	Crown Prosecution Service	Non Ministerial Government Department
10025430	Croydon Magistrates Court	TBA
10015555	CSF Air Warfare Centre	TBA
10020029	Culture East Midlands	NDPB
10020023	Culture North East	NDPB
10020024	Culture North West	NDPB
10020028	Culture South East	NDPB
10020025	Culture South West	NDPB
10020027	Culture West Midlands	NDPB
10025356	Cumbria Probation Trust	TBA
10007797	Cumbria Youth Offending Team	TBA
10025382	Custodial Property	TBA
10023237	Da Learning	TBA
10009327	Dairy Co	NDPB
10024062	Dara Fleetlands	TBA
10027514	Dartford County Court	TBA
10001143	Dartmoor National Park Authority	TBA
10019932	Darwin Advisory Committee	NDPB
10029171	DCLPA	TBA
10015062	DCSA Defence Information Infrastructure	TBA
10020469	DCSA DFN CND	TBA
10013172	DCSA MOD	TBA
10011430	DDEFSY Ministry of Defence	TBA
10007835	DDGS	TBA
10050968	DE&S Security	TBA
10025267	DEandS ISS G	TBA
10013818	Debut Services South West Limited	TBA
10051244	Defence Academy of the United Kingdom	Other
10022559	Defence Acquisition and Support	TBA
10007846	Defence Analytical Services Agency	Executive Agency
10051245	Defence and Security Media Advisory Committee	Other
10003582	Defence Animal Centre	TBA
10007847	Defence Bills Agency	Executive Agency
10033601	Defence Business Service	TBA
10022297	Defence Business Services	Executive Agency
10040401	Defence Business Services Knowledge and Information	TBA
10000117	Defence Catering Group	Cross Service
10021810	Defence College Management and Technology	TBA
10029207	Defence Cryptosecurity Authority	TBA
10042271	Defence Electronics and Components Agency	None
10024554	Defence Equipment and Support	TBA
10043157	Defence Equipment and Support	Cross Service
10042346	Defence Equipment and Support (Project Bennu)	Other
10042345	Defence Equipment and Support (Project Roc)	Other
10040407	Defence Equipment and Support Information Services and Systems	TBA
10040405	Defence Equipment and Support Information Services and Systems Head of Change	TBA
10042709	Defence Equipment and Support SPCISR	TBA
10002363	Defence Estates Agency	Executive Agency
10040392	Defence Explosive Ordnance Disposal Munitions and Search School South	TBA
10035545	DEFENCE EXPORT SERVICE ORGANISATION	TBA
10036613	Defence Fire Risk Management Organisation DFRMO	TBA
10003097	Defence Fire Training and Development Centre	TBA
10024466	Defence Food Services	TBA
10014523	Defence Fuels Group	TBA
10025263	Defence General Munitions Integrated Project Team	TBA
10003806	Defence Geographic Intelligence Agency	Executive Agency
10026279	Defence Helicopter Flying School	TBA
10034504	Defence Housing Executive	TBA
10036622	Defence Infrastructure Organisation	Department
10032895	Defence Infrastructure Organisation	TBA
10000195	Defence Intelligence and Security Centre DISC	Executive Agency
10012979	Defence Internal Audit	TBA
10005952	Defence Land Agent	TBA
10021811	Defence Medical Education and Training Agency	TBA
10024453	Defence Medical Rehabilitation Centre	TBA
10002365	Defence Medical Services Training Centre	TBA
10000154	Defence Munitions	TBA
10001452	Defence Munitions Glen Douglas	TBA
10051246	Defence Nuclear Safety Committee	Advisory non-departmental public body
10040418	Defence Operational Laguages Support Unit	TBA
10002366	Defence Procurement Agency	Executive Agency
10013116	Defence Procurement Reform	TBA
10042208	Defence Relationship Management	None
10004182	Defence School Of Transport	TBA
10005954	Defence Science and Technology Laboratory	Executive Agency
10051247	Defence Scientific Advisory Council	Advisory non-departmental public body
10051248	Defence Sixth Form College	Other
10004760	Defence Storage and Distribution Agency	Executive Agency
10021431	Defence Supply Service	Cross Service
10024416	Defence Support Group	Executive Agency
10027289	Defence Trained Estate	TBA
10014250	Defence Training Rationalisation IPT	TBA
10007854	Defence Vetting Agency	Executive Agency
10002367	Defence Works Services	TBA
10023343	Defense Estates South	TBA
10030584	Denbridge Doctors Surgery	Health
10051634	Department for Business Entergy & Industrial Strategy	Non Ministerial Government Department
10026241	Department for Business, Innovation & Skills	Department
10009644	Department for Communities and Local Government	Department
10007861	Department for Culture, Media & Sport	Department
10023079	Department for Education	Department
10005367	Department for Environment, Food & Rural Affairs	Department
10007864	Department for International Development	Department
10002368	Department for Transport	Department
10007868	Department for Work And Pensions	Department
10025273	Department of Energy & Climate Change	Department
10035789	Department of FacilitiesÂ Â Â 	TBA
10007881	Department of Health	Department
10036610	Deputy Chief of the Defence Staff Capability	TBA
10036611	Deputy Chief of the Defence Staff Personnel and Training	TBA
10001042	Derbyshire Probation Trust	TBA
10026785	DES Clothing Store	TBA
10030925	DES Med GS Inv Mgr2	TBA
10020031	Design Council	NDPB
10040408	Development Concepts and Doctrine Centre	TBA
10030587	Deveron Medical Practice	Health
10007901	Devon and Cornwall Probation Trust	TBA
10030456	DFG West Moors MOD	TBA
10034514	Dft Shared Services Centre	TBA
10023307	DG Info	TBA
10041521	DialARide	Transport
10051253	Digital, data and technology professions	Sub-organisation
10039996	Directly Operated Railways Limited	TBA
10036618	Director Business Resiliance	TBA
10036619	Director Central Legal Services	TBA
10036620	Director Central TLB Top Level Budget	TBA
10036614	Director General Finance	TBA
10036615	Director General Saudi Arabian Project	TBA
10036616	Director General Security Policy	TBA
10036617	Director General Transformation	TBA
10042033	Director Judicial Engagement Policy	None
10040359	Director Land Equipment Business Support	TBA
10036621	Director Media and Communications	TBA
10036623	Director Safety and Environment Authority	TBA
10005956	Directorate General Information and Communications Services	Executive Agency
10023592	Disabled Persons Transport Advisory Committee	NDPB
10051255	Disclosure and Barring Service	Executive non-departmental public body
10037537	Disclosure And Barring Service(Liverpool)	Executive Agency
10023308	DISec	TBA
10029926	Dishforth Airfield	TBA
10007926	Disposal Services Agency MOD	Executive Agency
10041522	Docklands Light Railway	Transport
10030773	Doncaster Law Courts	TBA
10027111	Dorset Probation Trust	TBA
10024945	Dounreay Site Restoration Limited	NDPB
10024630	Dover Harbour Board	NDPB
10003032	Dover Immigration Removal Centre	TBA
10030601	Dr Cassidy and Partners	Health
10002370	DRA Haslar	TBA
10015946	Drinking Water Inspectorate	TBA
10005911	Driver and Vehicle Licensing Agency	Executive Agency
10042379	Driver and Vehicle Standards Agency	Executive Agency
10025084	DSDA Crombie	TBA
10025224	DSDA Dulman	Executive Agency
10025846	DSDA Gosport	TBA
10030403	DSDA Longtown	Other
10026757	DSDA Plymouth	TBA
10000604	DSDC L	TBA
10040372	Duchess of Kent Barracks	TBA
10030774	Dudley Magistrates Court	TBA
10008000	Duke of Yorks Royal Military School	Executive Agency
10030441	Dundee Oliver Barracks	TBA
10028843	Durham Tees Valley Probation Trust	TBA
10034536	Dvlni	TBA
10013085	Dyfed Powys Magistrates Courts Committee	TBA
10040363	E2 Central Registry	TBA
10040116	East Anglia Reserve Forces and Cadets Association	TBA
10006394	East Midlands Development Agency	NDPB
10032392	East Midlands Prisons	TBA
10032393	East Midlands Probation	TBA
10040387	East Midlands Universities Air Squadron	TBA
10008057	East of England Development Agency	NDPB
10025357	East of England International	TBA
10032404	East of England Prisons	TBA
10032405	East of England Probation	TBA
10042838	Ebbsfleet Development Corporation	Other
10005965	Economic and Social Research Council	NDPB
10036355	Education Funding Agency	NDPB
10051256	Efficiency and Reform Group	Sub-organisation
10012359	Electoral Commission	Non Ministerial Government Department
10015243	Elevate East Lancashire Limited	TBA
10019994	Employment Appeal Tribunal	NDPB
10008141	Employment Tribunal	Executive Agency
10034549	Employment Tribunals Service	TBA
10018727	Energis Communications Limited	TBA
10021820	Energy and Utility Skills Limited	Sector Skills Agency
10008148	Energy Efficiency Office	TBA
10005968	Engineering and Physical Sciences Research Council	NDPB
10018150	Engineering Construction Industry Training Board	Executive non-departmental public body
10021821	English Beef and Lamb Executive	NDPB
10026684	EnvirolinkNorthwest	TBA
10004186	Environment Agency	NDPB
10021912	Equality and Human Rights Commission	NDPB
10040122	Eriicsson Limited	TBA
10019088	Essex Community Rehabilitation Company Limited	TBA
10012521	Essex Development and Regeneration Agency	TBA
10001656	Essex Magistrates Court Committee	TBA
10041329	EU NAVFOR, MNHQ	Cross Service
10015751	European Centre for Medium Range Weather Forecasts	TBA
10040348	European Joint Support Unit	TBA
10042010	Excalibur Fleet Services	None
10030776	Exeter Combined Court	TBA
10012531	Exmoor National Park Authority	Other
10019927	Expert Committee on Pesticides	NDPB
10051257	Export Control Organisation	Sub-organisation
10023292	Export Credits Guarantee Department	TBA
10051258	Export Guarantees Advisory Council	Advisory non-departmental public body
10006905	Facilities Management Group	TBA
10051259	Family Division of the High Court	Court
10051260	Family Justice Council	Advisory non-departmental public body
10051261	Family Procedure Rule Committee	Advisory non-departmental public body
10023207	Family Proceedings Rule Committee	TBA
10019934	Farm Animal Welfare Council	NDPB
10010772	Farriers Registration Council The	TBA
10023600	FCO Services	Executive Agency
10015341	Feltham Magistrates Court	TBA
10007688	Financial Conduct Authority	Executive Agency
10015101	Financial Reporting Council	TBA
10008261	Financial Services Compensation Scheme	NDPB
10051262	Financial Services Trade and Investment Board	Sub-organisation
10014127	Finsbury Park Partnership	TBA
10002191	Fire Service College	TBA
10040389	First Battalion The Rifles	TBA
10033005	First Tier Tribunal	Executive Agency
10018999	Firstâ??Tier Tribunal (Information Rights)	Executive Agency
10007742	First-Tier Tribunal (Asylum and Immigration)	Executive Agency
10027207	First-Tier Tribunal (Asylum Support)	Executive Agency
10020016	First-Tier Tribunal (Care Standards)	Executive Agency
10033012	First-Tier Tribunal (Charity)	Executive Agency
10033007	First-Tier Tribunal (Claims Management Services)	Executive Agency
10033011	First-Tier Tribunal (Consumer Credit)	Executive Agency
10012432	First-Tier Tribunal (Criminal Injuries Compensation)	Executive Agency
10033006	First-Tier Tribunal (Environment)	Executive Agency
10033013	First-Tier Tribunal (Estate Agents)	Executive Agency
10033009	First-Tier Tribunal (Gambling Appeals)	Executive Agency
10051263	First-tier Tribunal (General Regulatory Chamber)	Tribunal non-departmental public body
10016283	First-Tier Tribunal (Immigration and Asylum)	Executive Agency
10019000	First-Tier Tribunal (Immigration Services)	Executive Agency
10033008	First-Tier Tribunal (Local Government Standards in England)	Executive Agency
10018996	First-Tier Tribunal (Mental Health)	Executive Agency
10033010	First-Tier Tribunal (Primary Health Lists)	Executive Agency
10051264	First-tier Tribunal (Property Chamber)	Tribunal non-departmental public body
10018993	First-Tier Tribunal (Social Security and Child Support)	Executive Agency
10018994	First-Tier Tribunal (Social Security and Child Support)	Executive Agency
10018992	First-Tier Tribunal (Special Educational Needs and Disability)	Executive Agency
10019004	First-Tier Tribunal (Tax)	Executive Agency
10018991	First-Tier Tribunal (Transport)	Executive Agency
10018995	First-Tier Tribunal (War Pensions and Armed Forces Compensation)	Executive Agency
10040398	Flag Officer Sea Training Hydrographic Meteorological and Oceanographic School	TBA
10021826	Fleet Air Arm Museum	Other
10014471	Fleet Business Improvement	TBA
10028666	Fleet HQ C4ISTAR Division	TBA
10022379	Fleet Support Limited	TBA
10025907	Food and Environment Research Agency The	Executive Agency
10012362	Food Standards Agency	Department
10020036	Football Foundation	Charity
10008285	Football Licensing Authority	NDPB
10036625	Force Development Training	TBA
10005392	Foreign & Commonwealth Office	Department
10023601	Foreign Compensation Commission	NDPB
10037024	Forensic archive Limited	TBA
10051265	Forensic Science Regulator	Other
10023603	Forest Enterprise (England)	TBA
10023602	Forest Enterprise Scotland	TBA
10005393	Forest Research	TBA
10001167	Forestry Commission	Non Ministerial Government Department
10041643	Future Cities Catapult	TBA
10008330	Future Defence Supply Chain Initiative FDSCi	TBA
10028752	G2 Security	TBA
10026705	G4 Baranch	TBA
10040346	GÃ¼tersloh Garrison	TBA
10008336	Gambling Commission	NDPB
10051266	Gangmasters Licensing Appeals	Tribunal non-departmental public body
10019946	Gangmasters Licensing Authority	NDPB
10025720	Gas and Electricity Consumer Council	TBA
10013902	Geffrye Museum	NDPB
10019002	Gender Recognition Panel	Executive Agency
