Number of Bodies,Name,Department,Classification,PB Reform,Regulatory Function,Description/Terms of Reference,Notes,Address,Phone,Email,Website,Chair,Chair's Remuneration (p.a. unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretary Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Government Funding,Total Gross Expenditure,Staff employed,Audit Arrangements,OCPA Regulated,Chair Ministerial or non-ministerial Appt,"Chair
Paid or unpaid","Chair
No.Male","Chair
No.Female","Chair
No.Gender Unknown/ undeclared","Members
Ministerial or non-ministerial Appt","Members
Paid or unpaid?","Members
No. Male","Members
No. Female","Members
No. Gender Unknown/ undeclared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Crown Commercial Service, The",Cabinet Office,Executive Agency,-,No,"The Crown Commercial Service  has brought together GovernmentÕs central commercial capability into a single organisation, amalgamating Government Procurement Service with other commercial teams from the Cabinet Office and central government departments.","Established as the Buying Agency in 1991. The Crown Commercial Service has brought together GovernmentÕs central commercial capability into a single organisation, amalgamating Government Procurement Service with other commercial teams from the Cabinet Office and central government departments.","9th Floor Capital Building, Old Hall Street, Liverpool L3 9PP",0345 410 2222,info@gps.gsi.gov.uk,https://www.gov.uk/government/organisations/crown-commercial-service,Ed Smith,"£5,000 - £10,000",MD - Sally Collier,"£115,000-120,000",No,No,Yes,PHSO,2012-13,-,-,"£65,364,000",795,NAO,No,-,Paid,1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Crown Prosecution Service,Crown Prosecution Service,Non Ministerial Department,-,No,"The Crown Prosecution Service (CPS) is an independent body set up in 1986 to prosecute criminal cases in England and Wales. The CPS works closely with the police and other investigators to advise on lines of inquiry and to decide on appropriate charges or other disposals in all but minor cases. CPS prosecutors prepare cases for court and present cases in both the magistratesÕ courts and, increasingly, in the higher courts. The Director of Public Prosecutions is the head of the CPS and operates independently, under the superintendence of the Attorney General who is accountable to Parliament for the work of the CPS.",Created by the Prosecution of Offences Act 1985. Last review - Challenge session held with Cabinet Secretary on CPS Departmental Improvement Plan. Ombudsman - PHSO for breaches relating to obligations under the Code of Practice for Victims of Crime.,"Rose Court, 2 Southwark Bridge, London SE1 9HS",020 3357 0000,enquiries@cps.gsi.gov.uk,http://www.cps.gov.uk/,Alison Saunders,"£200,661",Peter Lewis,"£177,766",No,Yes,Yes,PHSO,2013-14,2014,"£505,905,000","£572,037,000","5,817",NAO,Yes,Non Ministerial,Paid,-,1,-,Non-ministerial,Paid,6,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Defence Nuclear Safety Committee,Ministry of Defence,Advisory NDPB,Retain,No,"The Defence Nuclear Safety Committee is responsible for providing the Secretary of State for Defence with an independent source of expertise and advice concerning the safety of Ministry of Defence nuclear programmes, facilities and operations.",Established 1999. Government funding is aggregate of funding for Nuclear Research Advisory Council and Defence Nuclear Safety Committee.,"1.L.10, MOD Main Building, Whitehall, London SW1A 2HB",020 7218 7310,dst-strattechNWTSCF@mod.uk,https://www.gov.uk/government/organisations/defence-nuclear-safety-committee,Professor Laurence William,£465 per day,Civil Servant,Civil Servant,No,No,No,PHSO,2014-15,2014,£0,"£89,206",1,NAO,Yes,Ministerial ,Paid,1,-,-,Ministerial,Paid,9,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Defence Science and Technology Laboratory,Ministry of Defence,Executive Agency,-,No,To maximise the impact of science and technology for the defence and security of the UK.,"Established 2001.  As a Trading Fund, Defence Science and Technology Laboratory raises its revenue through the sale of goods and services to customers, including government customers.","Dstl Porton Down, Salisbury, Wilts, SP4 0JQ",01980 613000,centralenquiries@dstl.gov.uk,https://www.dstl.gov.uk/,Sir David Pepper,"£28,000",Jonathan Lyle," £150,000 - £155,000",No,No,Yes,PHSO,2013-14,2010,"£637,100,000","£623,300,000","3,839",NAO,No,Ministerial,Paid,1,-,-,"2 Ministerial, 9 Non-Ministerial",5 Paid 6 Unpaid,7,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Defence Scientific Advisory Council,Ministry of Defence,Advisory NDPB,Retain,No,"Defence Scientific Advisory Council is established to provide independent advice to the Secretary of State for Defence on all matters of concern to the Department in the fields of non-nuclear science, engineering, technology and analysis.",Established 1969.,"1st Floor, Zone K, MOD Main Building, Whitehall, London SW1A 2HB",020 7218 7996,DST-StrategyAD@mod.uk,https://www.gov.uk/the-defence-scientific-advisory-council,Professor David Delpy,£465 per day,Civil Servant,Civil Servant,No,No,Yes,PHSO,2013-14,2014,"£226,000","£291,387",2,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,7,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Defence Support Group,Ministry of Defence,Executive Agency,-,No,"To provide MOD with secure access to an assured capacity and capability for through-life maintenance, repair, overhaul (MRO), upgrade and procurement support for land and air equipment, both in the UK and in operational theatres.","The DSG land business was sold to Babcock 31 March 2015. MOD would be retaining the Defence Support GroupÕs air business, the Electronics and Components Business Unit (ECBU). ECBU became the Defence Electronics and Components Agency (DECA), a new MOD Trading Agency, from 1 April 2015.  DSG was established 2008 as a Trading Fund, it raises its revenue through the sale of goods and services to customers including government customers.  It does not receive a grant or grant-in-aid.","DSG Headquarters, Sedgemoor Building, Monxton Road, Andover, Hampshire, SP11 8HT",01264 383295,info@dsg.mod.uk,http://www.dsg.mod.uk/,Alex Jablonowski,"£25,000",Archie Hughes,"£160,000",No,No,Yes,PHSO,2014-15,2010,"£175,241,000","£190,901,000","2,398",NAO,No,Ministerial,Paid,1,-,-,"2 Ministerial, 6 Non-Ministerial",2 Paid 6 Unpaid,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Directly Operated Railways Ltd,Department for Transport,Executive NDPB,Retain,No,"DOR fulfils the Secretary of State for Transport's requirements under the Railways Act to secure the continued provision of passenger railway services should an existing franchise not be able to complete its full term. At present DOR has a number of subsidiaries one of which is active:  the East Coast Main Line Company Ltd, which is itself outside of the scope of this report.","Income for DOR and ECML was in the main generated from ticket revenue from passenger services on the East Coast railway and associated services. DOR also provided services direct to DfT in connection with the Secretary of StateÕs obligations under the Railways Act. These services are provided and paid for under separate contracts direct with the DfT on a supplier basis. This income (£803,000) is included in Government funding in this report. In addition, DOR received funding from Government of £643,000 in respect of services provided in connection with the franchising of the East Coast Rail business which was transferred to the private sector in March 2015. This funding is also included in the Government funding line.","Fourth Floor
5 Chancery Lane
London EC4A 1BL",020 7904 5043,enquiries@directlyoperatedrailways.co.uk,http://www.directlyoperatedrailways.co.uk/,Doug Sutherland,"£100,000",Michael Holden,"£250,000",No,No,Yes,-,2013-2014,-,"£1,446,000","£2,200,000",12,Pricewaterhouse Coopers,No,Non Ministerial,Paid,-,-,-,Non-ministerial,Paid,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Disabled PersonsÕ Transport Advisory Committee (DPTAC),Department for Transport,Advisory NDPB,Retain,No,Statutory body set up under the Transport Act 1985 to advise the Government on transport policy as it affects the mobility of disabled people.,"Established 1986. Agreed to retain in June 2013. New members appointed April 2014 and new Chair November 2014. No annual reports have been produced since 2011, a report combining the years 2014-2016 will be produced in 2016.","DPTAC Secretariat 2/16 Great Minster House, 33 Horseferry Road, London, SW1P 4DR",0300 330 3000,dptac.enquiries@dft.gsi.gov.uk,https://www.gov.uk/government/organisations/disabled-persons-transport-advisory-committee,Keith Richards ,"£7,200",Civil Servant,Civil Servant,No,No,Yes,PHSO,2010-11,2013,"£128,000","£109,833",1,-,Yes,Ministerial,Unpaid,1,-,-,Ministerial  ,"11 paid, 1 unpaid (civil servant)",5,7,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Disclosure and Barring Service ,Home Office,Executive NDPB,-,Yes,Provides criminal records checks and barring decisions.,Established 1/12/12.  On 31 July 2014 the Office for National Statistics (ONS) issued a National Accounts Classification Decision that classified the DBS as a Public Non Financial Corporation.  The classification applies from the creation of the DBS on 1 December 2012.  Separate to the accounting classification the Cabinet Office maintain an administrative status for public sector organisations.  DBS remains an NDPB for administrative purposes.,"Shannon Court, Liverpool, LE1 QY",0151 676 1095,customerservice@dbs.gsi.gov.uk,https://www.gov.uk/government/organisations/disclosure-and-barring-service,Bill Griffiths,"£40,000-45,000",Adrienne Kelbie,"£125,000-130,000",No,No,Yes,PHSO,2013-14,-,£0,"£137,400,000",726,NAO,Yes,Ministerial,Paid,1,-,-,7,Yes,4,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Driver and Vehicle Licensing Agency (DVLA),Department for Transport,Executive Agency,-,Yes,"The DVLA ensures that complete and accurate registers of drivers and vehicles are held and makes them as accessible and as flexible as possible, to those who have the right to use them.  These registers underpin action by DVLA, the police and others to maintain the high levels of road safety experienced in the UK and the effective collection of vehicle excise duty (VED). DVLA registers are used to deliver other departmental and government initiatives such as traffic management and reducing carbon emissions.",Lesley Cowley was appointed non Executive Chair on 20 October 2014.,"Longview Road, Morriston, Swansea SA6 7JL",Drivers - 03007906801 Vehicles - 03007906802,enquiries@dvla.gov.uk,https://www.gov.uk/government/organisations/driver-and-vehicle-licensing-agency,Lesley Cowley ,"£24,000",Oliver Morley,"£125,000-130,000 (full year equivalent)",No,No,Yes,PHSO,2013-2014,2014,"£77,483,000","£489,254,000","5,172",NAO,No,Ministerial,Paid,0,1,0,Non-ministerial,Paid,7,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Driver and Vehicle Standards Agency (DVSA),Department for Transport,Executive Agency,-,Yes,"DVSA improves road safety in Great Britain by setting standards for driving and motorcycling, and making drivers, vehicle operators and MOT garages understand and follow roadworthiness standards. We also provide a range of licensing, testing, education and enforcement services.
","DVSA was established on 2 April 2014 from the merging of the Driver Standards Agency (DSA) and the Vehicle and Operator Services Agency (VOSA). DVSA operated as separate (DSA and VOSA) trading funds for the 2014/15 business year. On 1 April 2015, a single trading fund was created for DVSA.","Berkeley House, Croydon Street, Bristol, BS5 0DA
Switchboard: 0117 954 3200",0117 9542562,tom.middleton@vosa.gsi.gov.uk,www.gov.uk/dvsa,-,-,Alastair Peoples,"£110,000 - £115,000",No,No,No,PHSO,2013-2014,2014,See DSA & VOSA,See DSA & VOSA,"4,406",NAO,No,-,-,-,-,-,Non-ministerial,Paid,4,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Driving Standard Agency (DSA),Department for Transport,Executive Agency,Merge,Yes,See DVSA,"A separate trading fund, and legally separate to DVSA until 31/3/15",See DVSA,See DVSA,See DVSA,See DVSA,-,-,Alastair Peoples,See DVSA,See DVSA,See DVSA,See DVSA,See DVSA,See DVSA,See DVSA,£0,"£165,261,000",See DVSA,See DVSA,See DVSA,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Economic and Social Research Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"The Economic and Social Research Council funds research into the big social and economic questions facing society today.  ESRC also develops and trains the UK's future social scientists.  ESRC's research informs public policies and helps make businesses, voluntary bodies and other organisations more effective.",Established 1965. ,"Polaris House, North Star Avenue, Swindon, SN2 1UJ",01793 413000,comms@esrc.ac.uk,http://www.esrc.ac.uk/,Dr Alan Gillespie,"£16,430",Professor Jane Elliot,"£110,000-115,000",No,Yes,Yes,PHSO,2013-14,2014,"£203,958,000","£224,648,000",137,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,9,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Education Funding Agency,Department for Education,Executive Agency,-,Yes,"The Education Funding Agency is an executive agency of the Department for Education, responsible for the funding of education and training for children and young people between the ages of 3 and 19, and up to age 25 in the case of high needs students.  The EFA funds academy trusts and a range of post 16 providers directly and also allocates funding to local authorities for them to fund maintained schools.  In the case of academy trusts, the EFA has additional regulatory functions, eg on matters such as complaints.  The EFA is also responsible for a range of building and maintenance programmes for schools, academies, free schools and sixth-form colleges.","Established April 2012. The most recent annual report covers the 2013-14 financial year and was published in January 2015.
EFA has an advisory group whose members have been invited by the CE to advise him and his senior team on how  EFA works with, supports and regulates schools, colleges and other providers. Members are not appointed by the Secretary of State and do not advise ministers. The Board does not have a fiduciary or other responsibility for the performance of EFA and so a register of interests is not maintained for them. This return does not therefore include information on members of the advisory group. The CE, as a Board member of DfE, makes an annual declaration in relation to any interests he might have.
Government funding includes GIA and non-cash funding from DfE, and income receipts from MOJ and BIS.","Earlsdon Park, 53-55 Butts Road, Earlsdon Park, Coventry CV1 3BH",0370 000 2288,This has been updated to our 'contact us' page https://www.education.gov.uk/help/contactus/efa,www.gov.uk/efa,-,-,Peter Lauener,Civil Servant ,No,No,No,PHSO,2013-14,2014,"£55,902,927,115","£55,450,906,190",827,NAO,No,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Engineering and Physical Sciences Research Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"The main UK government agency for funding research and training in engineering and the physical sciences, investing more than £800 million a year.",Established 1994. Not separately identifiable as board diversity data is provided on an anonymous basis. ,"Polaris House, North Star Avenue, Swindon SN2 1ET",01793 444000,-,http://www.epsrc.ac.uk/,Dr Paul Golby,"£16,430",Professor Philip Nelson,"£140,000 - 145,000",Yes,Yes,Yes,PHSO,2013-14,2014,"£952,090,000","£974,052,000",218,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,12,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Engineering Construction Industry Training Board,"Department for Business, Innovation and Skills",Executive NDPB,Retain,Yes,To ensure the quantity and quality of training provision is adequate to meet the current and future skills needs of the industry.,Established 1991 (replacing the Engineering Industry Training Board that was established in 1964).  Chair remuneration is based on 2 days per week.  Triennial Review began in 2013 and is still ongoing,"Blue Court, Church Lane, Kings Langley, Hertfordshire WD4 8JP",01923 260 000,ECITB@ecitb.org.uk,http://www.ecitb.org.uk/,Shirley Watson (Acting Chair as recruitment process put in hold in line with publication of the Triennial Review),"£29,200",Chris Claydon (David Edwards former CE retiring as of 01/09/2015),"£130,000-£135,000",No,Yes,Yes,PHSO,2013,2003,£0,"£31,588,800",81,NAO,Yes,Ministerial,Paid,-,1,-,Ministerial,"Unpaid (two NEDS paid - £12,000 p.a. each)",21,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,English Heritage/ Historic England ,"Department for Culture, Media and Sport",Executive NDPB,Retain,Yes,"To promote the preservation of ancient monuments, historic buildings and conservation areas and to promote public understanding and enjoyment of the historic environment.","Established 1984. Historic England separated into two organisations from 1 April 2015. A new Charity - The English Heritage Trust, took on full responsibility for running the National Heritage Collection (NHC) of historic sites and monuments under the terms of a licence agreement. The licence will run for an initial period of eight years.","1 Waterhouse Square, 138-142 Holborn, London, EC1N 2ST",0870 333 1181,customers@english-heritage.org.uk,http://www.english-heritage.org.uk/,Sir Laurie Magnus,"£40,000",Simon Thurley,"£167,000.00",No,Yes,Yes,PHSO,2013-14,-,"£181,047,000","£176,166,000","2,062",NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,14 Paid,9,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Environment Agency,"Department for Environment, Food and Rural Affairs",Executive NDPB,Retain and substantially reform,Yes,"The Environment Agency is an Executive Non-Departmental Public Body responsible to the Secretary of State for Environment, Food and Rural Affairs (its responsibility in Wales ceased from 1 April 2013).  Its principal aims are to protect and improve the environment and to promote sustainable development.  It plays a central role in delivering the environmental priorities of central government including in Flood and Coastal Erosion Risk management, Climate Change Adaptation and Mitigation, Water Quality and Waste Management.",Established on 1 April 1996 (under the Environment Act 1995).,"Head Office, Horizon House, Deanery Road, Bristol, BS1 5AH",03708 506 506,enquiries@environment-agency.gov.uk,https://www.gov.uk/government/organisations/environment-agency,Sir Philip Dilley,"£95,000-£105,000",Dr Paul Leinster,"£195,000-£205,000",Yes,Yes,Yes,PHSO and LGO (Flood Defence and Land Drainage),2013-14,2013,"£857,000,000","£1,295,000,000","10,235",NAO,Yes,Ministerial,Paid,1,0,0,11 Ministerial,11 paid,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Equality and Human Rights Commission,"Department for Culture, Media and Sport",Executive NDPB,Retain and substantially reform,Yes,"The Equality and Human Rights Commission (EHRC) has a remit to reduce inequality, eliminate discrimination and protect human rights. The EHRC acts as an outcomes-based strategic regulator, ensuring that legislation is effective.",Established 2007; government funding is grant-in-aid from sponsor department. Due for Triennial Review 2015,"2nd Floor Arndale House, The Arndale Centre, Manchester M4 3AQ",0161 829 8100,correspondence@equalityhumanrights.com,http://www.equalityhumanrights.com/,Baroness Onora O'Neill,"£50,000",Mark Hammond,"£133,060.00",No,Yes,Yes,PHSO,2013-14,2010,"£17,718,000","£19,159,000",192,NAO,Yes,Ministerial,Paid,-,1,-,Non-ministerial,Paid,-,-,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
