Count,Name,Department,Classification,PB13 Entry,PB Reform,Regulatory Function,Description / Terms of Reference,Notes,Address,Phone,email,Website,Chair,Chair's Remuneration (p.a. unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretary Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Government Funding,Total Gross Expenditure,Staff employed,Audit Arrangements,OCPA Regulated,Chair Ministerial or non-ministerial Appt,Chair Paid or unpaid,Chair Male?,Chair Female?,Chair Gender Unknown/ undeclared?,Board Members Ministerial or non-ministerial Appt,Board Members Paid or unpaid,Male Board Members,Female Board Members,Gender Unknown/ undeclared Board Members,No. Bodies
1,Charity Commission for England and Wales,Charity Commission for England and Wales,Non Ministerial Department,FULL,Retain,Yes,"The Charity Commission is the independent Government department which registers and regulates charities in England and Wales, as set out in the Charities Act 2011.",Established 1853.  CE remuneration is 12/13 salary.  NAO value for money review 2013.,"PO Box 1227, Liverpool L69 3UG",0845 3000 218,fcemailteam@charitycommission.gov.uk,http://www.charitycommission.gov.uk/,William Shawcross CVO,"£50,000",Sam Younger CBE,"£130,000-£135,000",Yes,No,Yes,PHSO,2012-13,2013,"£23,414,000","£23,210,000",311,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,4,3,0,1
1,Commissioners for the Reduction of the National Debt,Commissioners for the Reduction of the National Debt,Non Ministerial Department,FULL,-,No,"The Commissioners for the Reduction of the National Debt (CRND)'s main function is the investment and management of government funds, including the National Insurance Fund Investment Account, the National Lottery Distribution Fund Investment Account and the Court Funds Investment Account.","The origins of the CRND can be traced back to the National Debt Reduction Act of 1786. There are nine ex officio Commissioners (The Chancellor of the Exchequer, The Governor and Deputy Governors of the Bank of England, The Speaker of the House of Commons, The Master of the Rolls, The Accountant General of the Senior Courts and the Lord Chief Justice). The CRNDs functions are entirely carried out by, and incorporated into, the United Kingdom Debt Management Office (DMO) through the nomination of DMO staff to the two statutory executive roles of the public body, the Comptroller General and the Assistant Comptroller. The operations of the CRND are allocated across the DMOs organisational structure and are carried out by its civil servants. No separate annual report is published for the CRND. Annual accounts are produced for the funds managed although these are not published by the DMO. CRND are not audited, the report and accounts for the individual funds managed by CRND are audited by the NAO.","UK Debt Management Office, Eastcheap Court, 11 Philpot Lane, London, EC3M 8UD",020 7862 6610,crnd@dmo.gsi.gov.uk,http://www.dmo.gov.uk/index.aspx?page=CRND/CRND_Index,-,-,Jo Whelan (Comptroller General),Civil Servant,No,No,Yes,-,-,-,£0,£0,0,-,No,0,0,0,0,0,0,0,0,0,0,1
1,Crown Prosecution Service,Crown Prosecution Service,Non Ministerial Department,FULL,-,No,"The Crown Prosecution Service (CPS) is an independent body set up in 1986 to prosecute criminal cases in England and Wales. The CPS works closely with the police and other investigators to advise on lines of inquiry and to decide on appropriate charges or other disposals in all but minor cases. CPS prosecutors prepare cases for court and present cases in both the magistrates courts and, increasingly, in the higher courts. The Director of Public Prosecutions is the head of the CPS and operates independently, under the superintendence of the Attorney General who is accountable to Parliament for the work of the CPS.",Created by the Prosecution of Offences Act 1985. ,"Rose Court, 2 Southwark Bridge, London SE1 9HS",020 3357 0000,enquiries@cps.gsi.gov.uk,http://www.cps.gov.uk/,Alison Saunders,"£158,614",Peter Lewis,"£176,826",No,Yes,Yes,-,2013-14,-,"£563,000,000","£552,000,000","6,166",NAO,Yes,non-ministerial,Paid,0,1,0,Non-Ministerial ,Paid,6,1,0,1
1,"Advisory, Conciliation and Arbitration Service (Acas)","Department for Business, Innovation and Skills",Executive NDPB,FULL,Retain,No,The aim of Acas is to improve organisations and working life through better employment relations.,Established 1975.  Anne Sharp became CE in February 2013; remuneration shown is full year salary.  Triennial Review commenced 2013.,"Acas National (Head Office), Euston Tower, 286 Euston Road, London NW1 3JJ.",020 7210 3623,secretariat@acas.org.uk,http://www.acas.org.uk/,Sir Brendan Barber,"£75,000-£80,000",Anne Sharp,"£110,000-£115,000",No ,No ,Yes ,PHSO,2013-14,2014,"£45,800,000","£49,888,000",£787.00,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,5,5,0,1
1,Arts and Humanities Research Council,"Department for Business, Innovation and Skills",Executive NDPB,FULL,Retain,No,"To promote and support research and postgraduate training in the arts and humanities.  To encourage the wider application of, and raise the profile of, arts and humanities research.",Established 2005.  Minutes are available on request.  Triennial Review began 2013.,"Polaris House, North Star Avenue, Swindon, Wilts SN2 1FL",01793 416000,enquiries@ahrc.ac.uk,http://www.ahrc.ac.uk/,Sir Drummond Bone,"£16,430",Professor Rick Rylance,"£125,000-£130,000",No,No,Yes,PHSO,2012-13,2014,"£106,545,400","£106,545,400",84,NAO,Yes,Ministerial,Paid ,1,0,0,Ministerial,Paid,8,3,0,1
1,Biotechnology and Biological Sciences Research Council ,"Department for Business, Innovation and Skills",Executive NDPB,FULL,Retain,No,"The Biotechnology and Biological Sciences Research Council is the UK funding agency for research in the life sciences.  BBSRC carries out its mission by funding research, providing training in the biosciences and fostering opportunities for knowledge. ",Established 1994.  Triennial Review began 2013.,"Polaris House, North Star Avenue, Swindon, Wilts, SN2 1UH",01793 413200,bbsrc.inquiries@bbsrc.ac.uk,http://www.bbsrc.ac.uk/,Professor Sir Tom Blundell,"£16,430",Professor Jackie Hunter,"£140,000-£145,000",No,Yes,Yes,PHSO,2012-13,2014,"£443,058,000","£518,380,000",1493,NAO,Yes,Ministerial,Paid,1,0,0,-,Paid,10,5,-,1
1,British Hallmarking Council,"Department for Business, Innovation and Skills",Executive NDPB,FULL,Retain,Yes,The British Hallmarking Council supervises UK hallmarking.,"Established 1973.  Financial and remuneration information is for the year ending 31 December 2013. Ms Geraldine Swanton (Secretary) fees charged at agreed hourly rate by SGH Martineau LLP, Ms Swanton's employer, for secretarial services to the BHC. Currently under Triennial Review.","Geraldine Swanton, Secretary, British Hallmarking Council, No 1 Colmore Square, Birmingham B4 6AA",0870 763 1455,geraldine.swanton@martineau-uk.com,https://www.gov.uk/government/organisations/british-hallmarking-council,Christopher Jewitt,"£14,000","Ms Geraldine Swanton (Secretary)
","£26,230",No,No,Yes,PHSO,2013,"2010 
",£0,"£66,475",0,NAO,Yes,Non-Ministerial,Paid,1,0,0,"10 Ministerial, 8 non-Ministerial",All unpaid,16,2, - ,1
1,Capital for Enterprise Limited,"Department for Business, Innovation and Skills",Executive NDPB,FULL,no longer an NDPB,No,Capital for Enterprise Ltd (CfEL) is the principal centre of expertise within Government on the provision of Small and Medium Enterprise financial interventions.," CfEL ceased to operate in its current form on 1 October 2013 when staff transferred to BIS. When the British Business Bank is created (autumn 2014), it is likely that CfEL will cease to exist. Currently it only exists to oversee Capital for Fund Managers Ltd - which undertakes a regulated activity which cannot be done within BIS. The vast majority of CfEL functions are now carried out by BIS (and the Department now employs the associated staff).","Capital for Enterprise Ltd, Foundry House, 3 Millsands, Sheffield, S3 8NH",0114 206 2131,info@capitalforenterprise.gov.uk,http://www.capitalforenterprise.gov.uk/,Patrick Magee,£0,Keith Morgan,£0,No,No,Yes,PHSO,2012-13,-,"£2,883,169","£2,977,383",37,NAO,Yes,0,0,1,0,0,0,0,0,0,0,1
1,Central Arbitration Committee,"Department for Business, Innovation and Skills",Tribunal NDPB,FULL,Retain,No,Adjudicating on issues around statutory trade union recognition and complaints brought under UK employees' information and consultation laws.,"Established 1976.  The Chair is a High Court Judge salaried by the Ministry of Justice; a proportion of his salary is refunded to the Ministry of Justice by the Dept of Business, Innovation and Skills.  The CAC was to be merged under the reform programme but will now be retained. Funded through Acas.","Euston Tower, 286 Euston Road, London NW1 3JJ.",020 7904 2300,enquiries@cac.gov.uk,http://www.cac.gov.uk/,Sir Michael Burton,£0,Simon Gouldstone,"£63,663",No,No,Yes,PHSO,2013-14,-,-,-,-,NAO,No,Ministerial,Paid,1,0,0,Ministerial,Paid,34,13,0,1
1,Companies House,"Department for Business, Innovation and Skills",Executive Agency,FULL,Retain,Yes,"Incorporates and dissolves limited companies, registers the information companies are legally required to supply, and makes that information available to the public.",Established 1844.  ,"Crown Way, Cardiff, CF14 3UZ",0303 1234 500,enquiries@companies-house.gov.uk,http://www.companieshouse.gov.uk/,Brian Landers,"£25,000-£30,000",Tim Moss,-,No,No,Yes,PHSO,2013-14,2013,"£5,000,000","£61,100,000",827,NAO,Yes,-,Paid,1,0,0,Ministerial,Paid (excluding ShEx NED),4,2,-,1
1,Competition Appeal Tribunal,"Department for Business, Innovation and Skills",Tribunal NDPB,FULL,Retain,No,Hearing of appeals in respect of various competition related matters.,Established 1 April 2003. Administration for the Competition Appeal Tribunal is provided by the Competition Service as an Executive NDPB.  Currently under Triennial Review.,"Victoria House, Bloomsbury Place, London, WC1A 2EB",020 7979 7979,-,http://www.catribunal.org.uk/,Sir Peter Roth,"£174,481",Charles Dhanowa,"£97,555",Yes,No,Yes,-,2012-13,-,£0,£0,0,NAO,N/A,Ministerial,Paid,1,0,0,Ministerial,Paid,16,4,0,1
1,Competition Commission,"Department for Business, Innovation and Skills",Executive NDPB,FULL,Merge ,Yes,"To investigate and report on matters referred to it relating to mergers, markets and anti-competitive practices, and the regulation of utilities.",Established 1 April 1999.Chair appointment information includes 3 deputies.  Members include 3 non-executive directors who serve on the Commissions governing council.  They do not sit on inquiry panels. The CCs minutes used to be published on the web up until 2011. Due to a re-design of the CCs website this wasnt continued though they have been in contact with their IT and press teams and have agreed to retrospectively publish these papers.,"Victoria House, Southampton Row, London, WC1B 4AD",020 7271 0100,info@cc.gsi.gov.uk,http://www.competition-commission.org.uk/,Roger Witcomb,"£179,204",David Saunders,"£183,188",No,No ,Yes,-,2012-13,2007,"£23,238,000","£23,238,000",141,NAO,Yes,0,0,0,0,0,0,0,0,0,0,1
1,Competition Service,"Department for Business, Innovation and Skills",Executive NDPB,FULL,No longer an NDPB,No,To fund and provide support services to the Competition Appeal Tribunal.,Established 1 April 2003. Currently under Triennial Review ,"Victoria House, Bloomsbury Place, London, WC1A 2EB",020 7979 7979,-,http://www.catribunal.org.uk/,Susan Scholefield,£350 per day,Charles Dhanowa,"£97,555",No,No,No,-,2012-13,-,"£3,920,000","£3,892,000",16,NAO,Yes,0,0,0,0,0,0,0,0,0,0,1
1,Construction Industry Training Board,"Department for Business, Innovation and Skills",Executive NDPB,FULL,Retain,Yes,To ensure the quantity and quality of training provision is adequate to meet the current and future skills needs of the industry.,"Established 1964.  The Chair has waived his entitlement to a salary.  Chief Executive at 31.3.13 was Mark Farrar - Current Chief Executive is interim and remuneration is a 'day-rate' employment contract for an individual who operates as a professional interim as opposed to a 'remuneration package' for a permanent Chief Executive.  Triennial Review began 2013 and ongoing. Chair William Burton (interim CEO from 28 May 2013 - 31 March 2014).  Adrian Belton appointed new permanent CEO on 1.04.14, salary of £142,500. Deputy Chair is paid.","Bircham Newton, King's Lynn, Norfolk PE31 6RH",0300 456 7577 or 0344 994  4400,call.centre@citb.co.uk,http://www.citb.co.uk/,James Wates,£0,William Burton ,"£1,100 per day",No,Yes,Yes,PHSO,2013,2003,£0,"£267,761,000",1375,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Unpaid ,17,1,0,1
1,Consumer Futures,"Department for Business, Innovation and Skills",Executive NDPB,FULL,No longer an NDPB,No,"Statutory consumer body providing advocacy for energy and postal consumers in England, Wales and Scotland;  postal consumers in Northern Ireland; and water consumers in Scotland.","Established under Consumer, Estate Agents and Redress Act 2007.  Name changed to Consumer Futures from Consumer Focus, April 2013 following transfer of general consumer advocacy functions to the Citizens Advice Service, leaving Consumer Futures as the advocating body for consumers in the Energy and Postal regulated sectors only, funding for which is  recovered from the regulators via a levy on the industries. Chair Mike O'Connor stood down end 2012/2013, salary £118500. Chairs remuneration is on a 3 days per week basis.  Of the Government Funding £8,459,000 is recovered from industry.","Victoria House, Bloomsbury Place, London, WC1A 2EB",020 7799 7900,contact@consumerfutures.org.uk,http://www.consumerfutures.org.uk/,Christine Farnish,"£48,000",Stephen Dunmore interim CEO and AO until 31 March 2014 when CF was abolished.,£80-£85K pro rata ,No,No,Yes,PHSO,2012-13,2009,"£9,432,000","£9,340,000",147,NAO,Yes,0,0,0,0,0,0,0,0,0,0,1
1,Copyright Tribunal,"Department for Business, Innovation and Skills",Tribunal NDPB,FULL,Retain,Yes,Deals with collective licensing disputes between business and collecting societies. ,Established 1956.,"4 Abbey Orchard Street, London, SW1P 2HT",020 7034 2836,catherine.worley@ipo.gov.uk,http://www.ipo.gov.uk/ctribunal.htm,Judge Hacon,£0,-,-,Yes,No,Yes,-,-,2008,£0,£0,-,-,No,Ministerial,Unpaid,1,0,0,Ministerial,8 Paid,5,3,0,1
1,Council for Science and Technology,"Department for Business, Innovation and Skills",Advisory NDPB,FULL,Retain,No,The CST advises the Prime Minister on strategic science and technology issues that cut across the responsibilities of individual government departments.,Established 1993 and relaunched in 2004.  Co-chaired by Sir Mark Walport and Professor Dame Nancy Rothwell. Reporting is subsection of GO-Science Annual Report. Triennial Review began 2013.,"CST Secretariat - 5th Floor, Spur 2, 1 Victoria Street, London, SW1H 0ET",020 7215 1092,cstinfo@bis.gsi.gov.uk,http://www.bis.gov.uk/cst,Multiple ,£0,Alan Pitt,Civil Servant,No,Yes,Yes,PHSO,2012-13,2013,£0,"£159,838",2,NAO,Yes,Ministerial,Unpaid,1,1,0,Ministerial,Unpaid ,13,5,0,1
1,Economic and Social Research Council,"Department for Business, Innovation and Skills",Executive NDPB,FULL,Retain,No,"The Economic and Social Research Council funds research into the big social and economic questions facing society today.  ESRC also develops and trains the UK's future social scientists.  ESRC's research informs public policies and helps make businesses, voluntary bodies and other organisations more effective.",Established 1965. Triennial Review began 2013.,"Polaris House, North Star Avenue, Swindon, SN2 1UJ",01793 413000,comms@esrc.ac.uk,http://www.esrc.ac.uk/,Dr Alan Gillespie,"£16,430",Professor Paul Boyle,"£120,000-£125,000",No,Yes,Yes,PHSO,2012-13,2014,"£211,000,000","£222,867,000",142,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,11,0,0,11,1
1,Engineering and Physical Sciences Research Council,"Department for Business, Innovation and Skills",Executive NDPB,FULL,Retain,No,"The main UK government agency for funding research and training in engineering and the physical sciences, investing more than £800 million a year.",Established 1994. Triennial Review began 2013. Not separately identifiable as board diversity data is provided on an anonymous basis. ,"Polaris House, North Star Avenue, Swindon SN2 1ET",01793 444000,-,http://www.epsrc.ac.uk/,Dr Paul Golby,"£16,430",Professor Dave Delpy,"£145,000-£150,000",Yes,Yes,Yes,PHSO,2012-13,2014,"£939,766,900","£939,766,900",209,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,0,10,4,0,1
1,Engineering Construction Industry Training Board,"Department for Business, Innovation and Skills",Executive NDPB,FULL,Retain,Yes,To ensure the quantity and quality of training provision is adequate to meet the current and future skills needs of the industry.,Established 1991 (replacing the Engineering Industry Training Board that was established in 1964).  Chair remuneration is based on 2 days per week.  Triennial Review  began in 2013.,"Blue Court, Church Lane, Kings Langley, Hertfordshire WD4 8JP",01923 260 000,ECITB@ecitb.org.uk,http://www.ecitb.org.uk/,Andrew Collinson,"£24,800",David Edwards,"£125,000-£130,000",No,Yes,Yes,PHSO,2013,2003,£0,"£30,305,000",85,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,"Unpaid (two NEDS paid - £12,000 p.a. each)",20,5,0,1
1,Film Industry Training Board,"Department for Business, Innovation and Skills",Executive NDPB,FULL,Retain,Yes,To ensure the quantity and quality of training provision is adequate to meet the current and future skills needs of the film industry.,Established 2009.  FITB is not operational as there is currently no statutory levy in the film industry.  A review of FITB began in 2013 and ongoing. ,"c/o Creative Skillset, Focus Point, 21 Caledonian Road, London, N1 9GB",-,-,-,Iain Smith,£0,-,-,No,No,No,-,-,-,£0,£0,0,-,Yes,Ministerial,Unpaid,1,0,0,Ministerial,Unpaid,4,4,0,1
1,Higher Education Funding Council for England (HEFCE),"Department for Business, Innovation and Skills",Executive NDPB,FULL,Retain,No,"The Higher Education Funding Council for England promotes and funds high-quality, cost-effective teaching and research in universities and colleges in England, to meet the diverse needs of students, the economy and society. 
",Established 1992. Chair remuneration is based on two days per week. HEFCE was exempted from the first round of Triennial Reviews.,"Bristol office, Northavon House, Coldharbour Lane, Bristol, BS16 1QD


",0117 931 7317,Hefce@hefce.ac.uk,http://www.hefce.ac.uk/,Tim Melville-Ross,"£47,350",Professor Madeleine Atkins CBE,"£230,000",No,Yes,Yes,PHSO,2013-14,2010,"£5,104,087,000","£5,128,936,000",237,NAO,Yes,Ministerial,Paid   ,1,0,0,Ministerial,Paid,8,6,0,1
1,Industrial Development Advisory Board,"Department for Business, Innovation and Skills",Advisory NDPB,FULL,Retain,No,The Industrial Development Advisory Board advises Ministers on applications from companies who are proposing to undertake investment projects in England and have applied for financial assistance under the Regional Growth Fund scheme; it also advises on proposed new schemes.,Established in 1972. The activities of the Industrial Development Advisory Board are included in an annual report to Parliament on the exercise of powers under the Industrial Development Act 1982. Current report is available at:                                                                                                                                                            http://www.official-documents.gov.uk/document/hc1314/hc04/0449/0449.pdf,"4th Floor, 1 Victoria Street, London SW1H 0ET",020 7215 4373,mary.covington@bis.gsi.gov.uk,https://www.gov.uk/government/organisations/industrial-development-advisory-board,Paul Mullins,£0,Duncan Budd,Civil Servant,No,No,Yes,PHSO,2013-14,2012,£0,£0,0,None,Yes,Ministerial,Unpaid,1,0,0,-,Unpaid,8,3,0,1
1,Innovate UK (formerly the Technology Strategy Board),"Department for Business, Innovation and Skills",Executive NDPB,FULL,Retain,No,"Research into, and the development and exploitation of, science, technology and new ideas for the benefit of those engaged in business activities with the aim of increasing economic growth and improving quality of life.",Established 2007.  Triennial review completed 2013,"Block A, Floor 1, North Star House, North Star Avenue, Swindon, SN2 1UE",01793 442700,enquiries@tsb.gov.uk,https://www.innovateuk.org/,Phil Smith,"£15,720",Iain Gray,"£250,000",No,No,Yes,PHSO,2013-14,2013,"£617,125,000","£624,112,000",200,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,9,2,0,1
1,Insolvency Practitioners Tribunal,"Department for Business, Innovation and Skills",Tribunal NDPB,FULL, If the Deregulation Bill going through Parliament gets Royal Assent the IPT will be abolished once the SoSs direct authorising role goes.  ,No,"To hear referrals from individuals and insolvency practitioners authorised to act by the Secretary of State in respect of refusal to grant, or the intention to withdraw, a license to act.",Established 1986.,"4 Abbey Orchard Street, London, SW1P  2HT ",020 7637 6568,David.Swarts@insolvency.gsi.gov.uk,-,Chairs drawn from panel of potential chairs for each individual case,-,-,n/a,No,No,No,-,-,2000,£0,£0,-,-,No,Non-Ministerial,Paid,8,1,0,Non-ministerial,Paid,21,0,0,1
1,Insolvency Service,"Department for Business, Innovation and Skills",Executive Agency,FULL,-,Yes,"Responsible for administration and oversight of the UK's insolvency regime, including regulation of private sector practitioners' authorising bodies",-,"4 Abbey Orchard Street, London SW1P 2HT",020 7637 1110,-,https://www.gov.uk/government/organisations/insolvency-service,David Ereira,"£12,000",Richard Judge,"£120,000-£125,000",No,Yes,Yes,PHSO,2012-13,-,"£59,813,000","£111,658,000","1,762",NAO,No,Non-Ministerial,Paid,1,0,0,0,3 Paid 2 unpaid,3,2,0,1
